,HDWF2
2018-09-15,77.28645833333333
2018-09-16,8.311111111111112
2018-09-17,63.46909722222222
2018-09-18,51.18958333333333
2018-09-19,40.720486111111114
2018-09-20,11.769097222222221
2018-09-21,3.3743055555555554
2018-09-22,13.473611111111111
2018-09-23,22.25486111111111
2018-09-24,54.62777777777777
2018-09-25,31.621180555555554
2018-09-26,30.821527777777778
2018-09-27,20.309375
2018-09-28,35.979166666666664
2018-09-29,24.97083333333333
2018-09-30,73.69513888888889
2018-10-01,60.99097222222222
2018-10-02,71.76840277777778
2018-10-03,26.96666666666667
2018-10-04,44.98506944444444
2018-10-05,23.46423611111111
2018-10-06,26.277430555555554
2018-10-07,34.00972222222222
2018-10-08,62.640972222222224
2018-10-09,45.43020833333333
2018-10-10,25.98194444444444
2018-10-11,36.795833333333334
2018-10-12,51.25798611111111
2018-10-13,46.32881944444444
2018-10-14,82.74236111111111
2018-10-15,80.94548611111111
2018-10-16,65.53298611111111
2018-10-17,43.25138888888889
2018-10-18,5.803472222222222
2018-10-19,77.92256944444445
2018-10-20,56.86041666666666
2018-10-21,16.309375
2018-10-22,60.111111111111114
2018-10-23,49.231249999999996
2018-10-24,53.61493055555555
2018-10-25,36.07879166666667
2018-10-26,14.495833333333332
2018-10-27,8.28888888888889
2018-10-28,8.12326388888889
2018-10-29,9.303472222222222
2018-10-30,17.02951388888889
2018-10-31,44.296875
2018-11-01,53.42465277777777
2018-11-02,62.93055555555555
2018-11-03,19.613541666666666
2018-11-04,34.69895833333333
2018-11-05,36.746180555555554
2018-11-06,51.38715277777778
2018-11-07,49.35659722222223
2018-11-08,4.875
2018-11-09,18.618402777777778
2018-11-10,32.36944444444445
2018-11-11,45.66631944444445
2018-11-12,32.282291666666666
2018-11-13,24.434027777777775
2018-11-14,28.152430555555554
2018-11-15,20.82361111111111
2018-11-16,33.060069444444444
2018-11-17,37.51493055555556
2018-11-18,44.018055555555556
2018-11-19,47.388888888888886
2018-11-20,18.490972222222222
2018-11-21,67.85833333333333
2018-11-22,81.53263888888888
2018-11-23,23.138194444444448
2018-11-24,51.34583333333333
2018-11-25,19.150347222222223
2018-11-26,13.27361111111111
2018-11-27,33.421527777777776
2018-11-28,51.081250000000004
2018-11-29,9.62326388888889
2018-11-30,8.200694444444444
2018-12-01,75.64270833333333
2018-12-02,70.94305555555556
2018-12-03,19.572222222222223
2018-12-04,13.544791666666667
2018-12-05,45.44375
2018-12-06,33.952777777777776
2018-12-07,59.33819444444445
2018-12-08,37.74097222222222
2018-12-09,43.939930555555556
2018-12-10,41.78993055555556
2018-12-11,35.89123263888889
2018-12-12,23.776041666666668
2018-12-13,79.10902777777777
2018-12-14,77.52534722222222
2018-12-15,19.896527777777777
2018-12-16,18.424652777777776
2018-12-17,15.418055555555554
2018-12-18,57.48090277777777
2018-12-19,70.6125
2018-12-20,47.15729166666667
2018-12-21,65.128125
2018-12-22,30.964930555555554
2018-12-23,29.730902777777775
2018-12-24,25.12673611111111
2018-12-25,42.88194444444445
2018-12-26,53.74444444444445
2018-12-27,80.06180555555555
2018-12-28,79.17916666666666
2018-12-29,26.381249999999998
2018-12-30,10.208333333333334
2018-12-31,27.735416666666666
