,HALLWF1
2018-09-10,7.070416666666667
2018-09-11,57.015277777777776
2018-09-12,43.66763888888889
2018-09-13,5.754479166666666
2018-09-14,67.91447916666667
2018-09-15,52.818506944444444
2018-09-16,12.374652777777778
2018-09-17,56.641284722222224
2018-09-18,69.21461805555556
2018-09-19,51.37809027777778
2018-09-20,21.13486111111111
2018-09-21,1.2339236111111112
2018-09-22,19.75815972222222
2018-09-23,13.749097222222224
2018-09-24,36.88222222222222
2018-09-25,16.299756944444443
2018-09-26,16.887916666666666
2018-09-27,40.68340277777778
2018-09-28,36.77184027777778
2018-09-29,24.126388888888886
2018-09-30,59.08208333333334
2018-10-01,55.354375000000005
2018-10-02,66.90069444444445
2018-10-03,18.252847222222222
2018-10-04,46.15322916666667
2018-10-05,25.786666666666665
2018-10-06,19.187326388888888
2018-10-07,25.376215277777778
2018-10-08,58.34947916666667
2018-10-09,60.78100694444444
2018-10-10,42.75138888888889
2018-10-11,34.182604166666664
2018-10-12,42.932604166666664
2018-10-13,44.554409722222225
2018-10-14,71.53173611111112
2018-10-15,72.0151388888889
2018-10-16,81.25972222222222
2018-10-17,63.543923611111104
2018-10-18,5.144375
2018-10-19,69.53496527777777
2018-10-20,48.06326388888888
2018-10-21,8.953680555555556
2018-10-22,55.577847222222225
2018-10-23,40.94663194444444
2018-10-24,35.82440972222222
2018-10-25,38.175694444444446
2018-10-26,9.869722222222222
2018-10-27,4.407430555555556
2018-10-28,4.020277777777777
2018-10-29,7.172326388888888
2018-10-30,16.803020833333335
2018-10-31,21.50888888888889
2018-11-01,58.63059027777778
2018-11-02,64.65986111111111
2018-11-03,27.93517361111111
2018-11-04,33.41128472222222
2018-11-05,45.84444444444444
2018-11-06,59.22326388888889
2018-11-07,52.940104166666664
2018-11-08,5.610173611111112
2018-11-09,21.712743055555553
2018-11-10,18.80138888888889
2018-11-11,23.25038194444444
2018-11-12,32.144618055555554
2018-11-13,28.146041666666665
2018-11-14,21.3203125
2018-11-15,12.856458333333334
2018-11-16,21.11829861111111
2018-11-17,37.00944444444445
2018-11-18,21.300868055555554
2018-11-19,39.430034722222224
2018-11-20,33.887118055555554
2018-11-21,59.95520833333333
2018-11-22,68.1884375
2018-11-23,25.420729166666664
2018-11-24,26.059895833333332
2018-11-25,12.542812499999998
2018-11-26,12.47076388888889
2018-11-27,32.746874999999996
2018-11-28,41.35746527777778
2018-11-29,11.374583333333334
2018-11-30,7.941701388888888
2018-12-01,68.81989583333333
2018-12-02,58.1496875
2018-12-03,35.78965277777778
2018-12-04,6.041145833333334
2018-12-05,24.734895833333336
2018-12-06,26.896666666666665
2018-12-07,55.06392361111111
2018-12-08,27.501631944444444
2018-12-09,36.751979166666665
2018-12-10,37.686076388888885
2018-12-11,19.383125
2018-12-12,27.574409722222224
2018-12-13,60.15614583333333
2018-12-14,58.079097222222224
2018-12-15,23.463229166666665
2018-12-16,23.815972222222225
2018-12-17,13.018680555555555
2018-12-18,36.78930555555556
2018-12-19,55.01274305555555
2018-12-20,44.190625000000004
2018-12-21,51.65569444444444
2018-12-22,36.12121527777778
2018-12-23,8.279305555555554
2018-12-24,21.0834375
2018-12-25,20.10590277777778
2018-12-26,32.89805555555555
2018-12-27,44.74965277777778
2018-12-28,44.19868055555556
2018-12-29,10.89125
2018-12-30,3.3751041666666666
2018-12-31,12.225
