,MACARTH1
2018-11-13,39.20642361111111
2018-11-14,29.60666666666667
2018-11-15,41.33767361111111
2018-11-16,66.55854166666667
2018-11-17,115.17843750000002
2018-11-18,80.52395833333334
2018-11-19,187.46270833333332
2018-11-20,79.21069444444444
2018-11-21,91.12111111111112
2018-11-22,184.5845138888889
2018-11-23,167.69204861111112
2018-11-24,52.15725694444444
2018-11-25,37.728368055555556
2018-11-26,18.413923611111112
2018-11-27,63.798229166666665
2018-11-28,103.895
2018-11-29,18.12204861111111
2018-11-30,17.90753472222222
2018-12-01,237.52545138888888
2018-12-02,227.4940625
2018-12-03,256.6197222222222
2018-12-04,23.288055555555555
2018-12-05,60.50295138888888
2018-12-06,96.21541666666667
2018-12-07,192.56475694444444
2018-12-08,47.936527777777776
2018-12-09,87.14975694444445
2018-12-10,45.90430555555556
2018-12-11,62.18770833333334
2018-12-12,154.3492361111111
2018-12-13,139.19871527777778
2018-12-14,99.34819444444445
2018-12-15,16.642569444444444
2018-12-16,12.801354166666668
2018-12-17,42.03006944444444
2018-12-18,43.86454861111111
2018-12-19,6.594930555555556
2018-12-20,107.94506944444446
2018-12-21,119.18784722222222
2018-12-22,41.18642361111111
2018-12-23,7.473645833333333
2018-12-24,105.02902777777778
2018-12-25,37.53006944444444
2018-12-26,35.25239583333333
2018-12-27,36.00954861111111
2018-12-28,59.766493055555564
2018-12-29,56.700381944444445
2018-12-30,66.598125
2018-12-31,35.60055555555555
